DEPTO,CÓDIGO,MATERIA,DOCENTES,FECHA,HORA INICIO,HORA FIN,SEDE
ELECTRONICA,8649,SEMINARIO DE ELECTRÓNICA II,"FUCHS, JORGE HECTOR ANTONIO",2/7/2023,18:30,21:30,Paseo Colon
ELECTRONICA,8601,TÉCNICA DIGITAL,"FUCHS, JORGE HECTOR ANTONIO",2/7/2023,18:30,21:30,Paseo Colon
COMPUTACION,7546,ADM. Y CONTROL DE PROY. INFORMATICOS II,"ZAPATA, LAURA ANALIA - ALVARO, FERNANDO",2/7/2023,19:00,22:00,Paseo Colon
GESTION,9142,ADMINISTRACIÓN DE LAS ORGANIZACIONES,"BILELLO, MIGUEL ANGEL",2/7/2023,19:00,NULL,
GESTION,7116,ADMINISTRACION DE PROYECTOS,"BILELLO, MIGUEL ANGEL",2/7/2023,19:00,NULL,
COMPUTACION,9502,ALGORITMOS Y PROGRAMACIÓN III,"LEVERONI, LUCIANO",2/7/2023,19:00,22:00,Paseo Colon
HIDRAULICA,8907,CONSTRUCCIONES HIDRÁULICAS,"GUITELMAN, ADOLFO",2/7/2023,19:00,NULL,
GESTION,7123,ECONOMIA,"JAHN, LUIS GERMAN",2/7/2023,19:00,NULL,
GESTION,9109,ECONOMÍA,"JAHN, LUIS GERMAN",2/7/2023,19:00,NULL,
ING QUIMICA,7628,GEST DE RECURSOS EN LA IND. DE PROCESOS,"AMALRIC, JORGE HECTOR",2/7/2023,19:00,22:00,Ing Quimica
TEC INDUSTRIAL,7218,INDUSTRIAS II,"DAMIANO, AUGUSTO ALEJANDRO",2/7/2023,19:00,22:00,
TEC INDUSTRIAL,9218,INDUSTRIAS II,"DAMIANO, AUGUSTO ALEJANDRO",2/7/2023,19:00,22:00,
ELECTRONICA,8627,INFRAESTRUCTURA DE REDES FIJAS,"LOMBARDO, PABLO ANDRES",2/7/2023,19:00,22:00,Paseo Colon
TEC INDUSTRIAL,9224,Ing. y desarrollo de envases y embalajes,,2/7/2023,19:00,21:00,
CONSTRUCCIONES,9405,INSTALACIONES EN OBRAS CIVILES I,"DI MARCO, MARTÍN - ALAGIA, JUAN PABLO",2/7/2023,19:00,22:00,
CONSTRUCCIONES,9420,INSTALACIONES EN OBRAS CIVILES II,"DI MARCO, MARTÍN",2/7/2023,19:00,22:00,
ELECTRONICA,8669,INSTRUMENTOS Y MEDICIONES ELECTRONICAS,"BERTETTA, ADOLFO ANTONIO",2/7/2023,19:00,22:00,Paseo Colon
AMBIENTE,7702,INTRODUCCION A LA INGENIERIA AMBIENTAL,"SOLANA, ROMINA SOLEDAD",2/7/2023,19:00,23:00,Paseo Colon
ELECTRONICA,8628,LABORATORIO DE COMUNICACIONES,"MARTINEZ, ALEJANDRO MANUEL",2/7/2023,19:00,22:00,Paseo Colon
GESTION,7139,LEG. Y EJ. PROF. DE LA ING. ELECTRIC. B,"SOROCO, ARNOLDO LAZARO",2/7/2023,19:00,NULL,
GESTION,7125,LEG. Y EJER. PROF. DE LA ING. MECANICA,"SOROCO, ARNOLDO LAZARO",2/7/2023,19:00,NULL,
GESTION,7128,LEG. Y EJER. PROF. DE LA ING. QUIMICA,"SOROCO, ARNOLDO LAZARO",2/7/2023,19:00,NULL,
GESTION,7138,LEGISLACION GENERAL,"SOROCO, ARNOLDO LAZARO",2/7/2023,19:00,NULL,
GESTION,9115,LEGISLACIÓN Y EJERCICIO PROFESIONAL DE LA INGENIERÍA ELECTRICISTA,"SOROCO, ARNOLDO LAZARO",2/7/2023,19:00,NULL,
GESTION,7108,ORGANIZACION INDUSTRIAL III,"CONDE, MARIA EUGENIA",2/7/2023,19:00,NULL,
GESTION,9108,ORGANIZACIÓN INDUSTRIAL III,"CONDE, MARIA EUGENIA",2/7/2023,19:00,NULL,
MECANICA,6734,PROYECTO DE INSTALACIONES TERMICAS,"AGUIRRE, FERNANDO SEBASTIAN",2/7/2023,19:00,22:00,Paseo Colon
MECANICA,6799,TRAB. PROFESIONAL DE ING. MECANICA B,"AGUIRRE, FERNANDO SEBASTIAN",2/7/2023,19:00,22:00,Paseo Colon
COMPUTACION,7540,ALGORITMOS Y PROGRAMACION I,"COSTA, GUIDO",2/8/2023,8:00,12:00,Paseo Colon
COMPUTACION,9514,ALGORITMOS Y PROGRAMACIÓN I,"COSTA, GUIDO",2/8/2023,8:00,12:00,Paseo Colon
COMPUTACION,7501,COMPUTACIÓN,"COSTA, GUIDO",2/8/2023,8:00,12:00,Paseo Colon
COMPUTACION,9501,COMPUTACIÓN,"COSTA, GUIDO",2/8/2023,8:00,12:00,Paseo Colon
ESTABILIDAD,8406,ESTABILIDAD III,"ABELEDO, MARCELO GUILLERMO",2/8/2023,9:00,12:00,
ING QUIMICA,7623,RECUPERACION ASISTIDA DE PETROLEO,"D'ANGELO, MARÍA VERÓNICA",2/8/2023,9:00,12:00,Ing Quimica
FISICA,6215,FISICA III D,"AGUIRRE, MARIA ALEJANDRA",2/8/2023,9:45,13:00,Paseo Colon
GESTION,9135,ANÁLISIS DE CASOS,"RAMOS, SILVIA ADRIANA",2/8/2023,16:00,NULL,
COMPUTACION,7512,ANALISIS NUMERICO I,"RODRIGUEZ, DANIEL FABIAN",2/8/2023,16:00,19:00,Paseo Colon
COMPUTACION,9504,ANÁLISIS NUMÉRICO I,"RODRIGUEZ, DANIEL FABIAN",2/8/2023,16:00,19:00,Paseo Colon
GESTION,7158,ANÁLISIS Y RESOL. DE PROBL. DE SISTEMAS,"RAMOS, SILVIA ADRIANA",2/8/2023,16:00,NULL,
GESTION,7141,ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS,"RAMOS, SILVIA ADRIANA",2/8/2023,16:00,NULL,
ING QUIMICA,7658,EMISIONES DE CONT. QUÍMICOS Y BIOLÓGICOS,"Santagata, Daniela",2/8/2023,16:00,19:00,Ing Quimica
ELECTRONICA,8661,INGENIERÍA BIOMÉDICA,"ZANUTTO, BONIFACIO SILVANO",2/8/2023,16:00,19:00,Paseo Colon
COMPUTACION,9513,MÉTODOS MATEMÁTICOS Y NUMÉRICOS,"RODRIGUEZ, DANIEL FABIAN",2/8/2023,16:00,19:00,Paseo Colon
GESTION,7114,MODELOS Y OPTIMIZACION I,"RAMOS, SILVIA ADRIANA",2/8/2023,16:00,NULL,
GESTION,9104,MODELOS Y OPTIMIZACIÓN I,"RAMOS, SILVIA ADRIANA",2/8/2023,16:00,NULL,
GESTION,7120,MODELOS Y OPTIMIZACION III,"RAMOS, SILVIA ADRIANA",2/8/2023,16:00,NULL,
GESTION,9106,MODELOS Y OPTIMIZACIÓN III,"RAMOS, SILVIA ADRIANA",2/8/2023,16:00,NULL,
ING QUIMICA,7652,OPER. UNIT. DE TRANSF. DE MATERIA,"GONZALEZ, CONRADO",2/8/2023,16:00,22:00,Ing Quimica
ING QUIMICA,7605,OPERACIONES UNITARIAS III,"GONZALEZ, CONRADO",2/8/2023,16:00,22:00,Ing Quimica
ELECTRONICA,6663,REDES NEURONALES,"LEW, SERGIO EDUARDO",2/8/2023,16:00,19:00,Paseo Colon
ELECTRONICA,8654,REDES NEURONALES,"LEW, SERGIO EDUARDO",2/8/2023,16:00,19:00,Paseo Colon
GESTION,7102,AGRIMENSURA LEGAL I,"MENDEZ CASARIEGO, JUAN CARLOS",2/8/2023,17:00,NULL,
GESTION,7124,AGRIMENSURA LEGAL II,"MENDEZ CASARIEGO, JUAN CARLOS",2/8/2023,17:00,NULL,
GESTION,7130,AGRIMENSURA LEGAL III,"MENDEZ CASARIEGO, JUAN CARLOS",2/8/2023,17:00,NULL,
GESTION,7152,AGRIMENSURA LEGAL IV,"MENDEZ CASARIEGO, JUAN CARLOS",2/8/2023,17:00,NULL,
HIDRAULICA,8901,HIDRÁULICA GENERAL,"SCHIFINI GLADCHTEIN, FERNANDO",2/8/2023,17:00,NULL,
AMBIENTE,7701,HIGIENE Y SEGURIDAD DEL TRABAJO,"AUGUET, JORGE OMAR",2/8/2023,17:00,19:00,
AMBIENTE,9703,HIGIENE Y SEGURIDAD EN OBRAS CIVILES,"AUGUET, JORGE OMAR",2/8/2023,17:00,19:00,
AMBIENTE,9701,HIGIENE Y SEGURIDAD INDUSTRIAL,"AUGUET, JORGE OMAR",2/8/2023,17:00,19:00,
AGRIMENSURA,7024,LEVANTAMIENTOS HIDROGRAFICOS,"OREIRO, FERNANDO ARIEL",2/8/2023,17:00,21:00,
AGRIMENSURA,7041,OCEANOGRAFÍA FÍSICA,"OREIRO, FERNANDO ARIEL",2/8/2023,17:00,21:00,
ING QUIMICA,7661,BIOINGENIERÍA,"MARIÑO, FERNANDO JAVIER",2/8/2023,18:00,22:00,Ing Quimica
ING QUIMICA,7613,BIOINGENIERIA INDUSTRIAL,"MARIÑO, FERNANDO JAVIER",2/8/2023,18:00,22:00,Ing Quimica
